id,genero,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,fecha
171,1,2,3,4,1,1,1,1,2,2,3,2025-10-28T20:40:46.8000000
172,1,2,3,4,1,1,1,1,2,2,3,2025-10-28T20:40:46.9200000
173,0,2,0,3,3,3,1,2,4,2,0,2025-10-28T20:40:58.4600000
174,1,1,0,1,1,0,1,3,0,2,3,2025-10-28T20:42:05.6370000
175,0,2,2,3,3,2,2,3,3,2,2,2025-10-28T20:42:14.0700000
176,0,0,2,2,3,2,3,2,3,3,3,2025-10-28T20:43:55.8630000
177,0,0,1,2,0,2,2,0,1,2,2,2025-10-28T20:45:26.8500000
178,0,0,1,2,0,2,2,0,1,2,2,2025-10-28T20:45:26.9000000
179,1,2,2,1,1,2,2,2,1,3,2,2025-10-28T20:46:03.5530000
180,1,2,2,3,0,0,4,3,2,2,4,2025-10-28T20:46:59.2570000
181,1,2,2,2,2,2,2,3,2,3,3,2025-10-28T20:47:52.3300000
182,1,2,3,3,2,2,3,2,1,3,4,2025-10-28T20:52:14.6400000
183,1,3,3,2,2,4,2,0,2,4,3,2025-10-28T20:52:54.7200000
184,1,1,2,4,2,2,4,4,2,4,1,2025-10-28T20:53:29.4900000
185,0,2,3,4,2,2,4,4,2,2,4,2025-10-28T20:54:50.9800000
186,1,1,2,2,4,2,2,2,2,0,0,2025-10-28T20:55:23.0730000
187,1,2,2,3,2,0,3,3,4,3,3,2025-10-28T20:56:18.4230000
188,0,1,1,2,3,1,2,4,4,1,2,2025-10-28T21:10:28.1270000
189,0,1,2,3,3,3,2,3,3,2,1,2025-10-28T21:10:43.8400000
190,0,0,0,0,0,0,0,0,0,0,0,2025-10-28T21:11:12.6970000
191,1,2,1,2,2,2,2,2,2,2,1,2025-10-28T21:11:45.3900000
192,1,2,1,2,2,2,2,2,2,2,1,2025-10-28T21:11:45.4070000
193,1,2,2,3,2,2,2,2,2,2,2,2025-10-28T21:12:12.8200000
194,1,2,2,2,3,4,1,3,2,2,1,2025-10-28T21:12:21.6000000
195,1,3,2,3,1,2,2,3,2,2,2,2025-10-28T21:12:34.0870000
196,0,2,1,2,4,3,2,4,2,1,1,2025-10-28T21:12:39.0570000
197,0,2,2,2,4,2,2,4,4,2,0,2025-10-28T21:12:47.1200000
198,1,2,2,3,2,2,3,2,3,2,2,2025-10-28T21:12:51.9370000
199,1,2,3,4,1,1,2,3,2,3,3,2025-10-28T21:12:55.3800000
200,0,1,2,2,2,2,2,3,2,2,2,2025-10-28T21:13:14.8830000
201,1,3,4,4,4,0,4,4,0,4,3,2025-10-28T21:14:01.6470000
202,0,2,2,3,4,2,2,3,2,2,2,2025-10-28T21:14:22.2500000
203,0,0,1,0,4,4,1,4,4,1,1,2025-10-28T21:14:28.3530000
204,0,0,2,2,3,3,2,2,3,2,2,2025-10-28T21:14:32.1670000
205,0,2,2,2,2,2,2,2,2,2,2,2025-10-28T21:15:06.5430000
