id,genero,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,fecha,score_total,label
309,0,2,1,2,1,2,2,2,2,2,2,2025-10-28T22:34:08.8300000,18,0
310,0,3,3,3,1,2,3,2,2,3,3,2025-10-28T22:34:41.9930000,25,1
311,0,1,2,4,2,2,2,1,4,2,4,2025-10-28T22:35:21.0730000,24,1
312,1,2,1,2,0,1,2,2,1,1,2,2025-10-28T22:36:21.6500000,14,0
313,1,2,2,3,3,2,3,3,3,3,3,2025-10-28T22:36:43.2300000,27,1
314,0,2,2,2,1,2,4,1,2,2,2,2025-10-29T15:10:05.3500000,20,0
317,1,3,4,3,4,3,4,2,3,4,3,2025-10-29T15:10:05.5300000,33,1
330,1,2,3,3,2,3,4,4,3,4,4,2025-10-29T15:10:20.3400000,32,1
331,0,1,2,2,2,2,1,3,3,2,2,2025-10-29T15:10:40.5170000,20,0
332,1,4,3,4,2,3,4,2,2,2,4,2025-10-29T15:10:42.9900000,30,1
335,1,2,3,3,3,2,4,2,1,1,4,2025-10-29T15:10:49.2800000,25,1
336,0,3,4,2,2,2,4,3,3,1,3,2025-10-29T15:10:51.5700000,27,1
337,0,3,4,3,0,3,4,2,2,2,4,2025-10-29T15:11:10.3170000,27,1
339,0,2,2,4,2,0,3,3,3,3,3,2025-10-29T15:11:17.3170000,25,1
340,0,1,0,1,0,0,0,1,0,0,0,2025-10-29T15:11:45.9300000,3,0
341,1,2,3,3,0,1,3,2,1,4,4,2025-10-29T15:12:45.3630000,23,1
342,1,2,2,3,1,2,3,1,2,3,3,2025-10-29T15:12:54.7530000,22,1
343,1,2,2,1,3,2,2,3,4,3,0,2025-10-29T15:12:59.8200000,22,1
344,1,2,3,2,3,2,1,2,2,2,2,2025-10-29T15:13:49.4630000,21,1
347,1,2,3,3,1,1,2,1,1,3,3,2025-10-29T15:14:39.8100000,20,0
348,1,2,2,1,2,2,1,2,2,1,2,2025-10-29T15:15:41.6800000,17,0
349,0,2,2,2,1,2,1,2,3,0,2,2025-10-29T16:03:29.2730000,17,0
350,0,2,1,2,2,2,2,2,2,2,3,2025-10-29T16:03:52.5030000,20,0
351,1,1,2,3,2,2,2,1,1,3,3,2025-10-29T16:03:53.6030000,20,0
352,1,3,2,2,2,2,3,2,2,3,3,2025-10-29T16:04:01.5000000,24,1
353,0,1,0,3,4,2,1,4,1,4,2,2025-10-29T16:04:06.4600000,22,1
354,0,2,2,2,1,0,2,3,2,1,1,2025-10-29T16:04:15.7900000,16,0
355,0,0,1,3,3,2,2,1,2,3,2,2025-10-29T16:04:33.0600000,19,0
356,1,2,1,2,3,1,1,3,3,1,1,2025-10-29T16:04:50.5900000,18,0
357,0,3,3,2,2,3,2,2,1,3,4,2025-10-29T16:05:09.1130000,25,1
358,1,2,3,3,2,3,3,3,3,3,3,2025-10-29T16:05:28.2600000,28,1
359,1,4,3,2,2,3,0,2,2,2,0,2025-10-29T16:05:31.8030000,20,0
361,0,2,1,1,1,1,2,1,1,2,1,2025-10-29T16:05:33.2930000,13,0
362,0,2,3,1,4,2,2,1,3,1,0,2025-10-29T16:05:34.3800000,19,0
363,1,2,2,2,2,2,3,2,2,2,3,2025-10-29T16:05:57.8500000,22,1
364,0,3,2,3,2,3,2,3,4,4,4,2025-10-29T16:06:11.0430000,30,1
365,0,2,2,4,1,2,4,2,2,4,4,2025-10-29T16:06:34.2570000,27,1
366,1,3,2,3,2,2,2,2,2,3,2,2025-10-29T16:06:38.8300000,23,1
367,1,3,2,3,2,2,2,3,2,4,3,2025-10-29T16:06:55.8630000,26,1
369,1,2,2,3,3,2,2,2,2,3,2,2025-10-29T16:08:11.2500000,23,1
370,0,2,1,2,2,2,2,1,2,2,2,2025-10-29T16:08:14.0300000,18,0
371,0,3,1,0,0,1,2,0,0,2,0,2025-10-29T16:08:40.1270000,9,0
372,1,1,1,2,2,0,1,1,2,2,2,2025-10-29T16:09:15.6630000,14,0
373,1,2,1,3,2,2,2,1,2,2,1,2025-10-29T16:10:08.7800000,18,0
374,1,1,2,0,1,0,0,1,0,1,0,2025-10-29T16:10:21.5470000,6,0
375,0,3,2,4,2,2,3,3,2,2,2,2025-10-29T16:11:33.7100000,25,1
376,1,1,2,0,1,0,0,1,0,3,3,2025-10-29T16:32:03.6500000,11,0
378,1,4,3,2,1,4,2,4,2,2,4,2025-10-29T16:33:34.0000000,28,1
379,0,1,2,1,0,1,2,1,1,1,1,2025-10-29T16:33:35.4370000,11,0
380,0,1,2,3,3,3,2,1,3,4,1,2025-10-29T16:33:51.4270000,23,1
381,1,2,1,2,2,1,0,1,2,1,1,2025-10-29T16:33:57.0700000,13,0
382,0,3,3,3,1,2,2,1,2,3,3,2025-10-29T16:34:01.2070000,23,1
383,0,1,1,0,0,1,1,0,1,1,1,2025-10-29T16:34:03.0700000,7,0
384,1,3,3,4,2,3,4,2,2,3,3,2025-10-29T16:34:05.2370000,29,1
385,0,2,4,2,3,2,4,2,1,2,4,2025-10-29T16:34:07.3970000,26,1
386,0,2,2,1,2,1,1,1,1,0,1,2025-10-29T16:34:14.3000000,12,0
388,1,2,3,2,2,2,2,1,3,2,2,2025-10-29T16:34:18.2870000,21,1
389,0,0,1,1,4,4,1,0,3,4,4,2025-10-29T16:34:26.4470000,22,1
390,0,1,1,0,2,1,2,1,2,1,1,2025-10-29T16:35:06.5000000,12,0
391,0,2,3,4,2,2,3,3,2,4,3,2025-10-29T16:35:25.8870000,28,1
392,0,2,2,2,2,0,2,3,1,1,1,2025-10-29T16:35:39.5700000,16,0
393,0,1,1,2,2,2,2,1,2,2,2,2025-10-29T16:35:58.7270000,17,0
394,0,3,3,4,2,2,2,2,2,3,2,2025-10-29T16:36:01.3200000,25,1
395,0,2,3,3,0,2,1,2,1,2,3,2025-10-29T16:36:06.3630000,19,0
396,0,1,2,2,1,2,3,2,1,4,1,2025-10-29T16:36:14.8130000,19,0
397,0,2,1,1,0,2,2,1,1,1,1,2025-10-29T16:36:20.0900000,12,0
398,0,2,3,2,3,1,1,2,1,2,1,2025-10-29T16:36:34.8770000,18,0
399,1,3,4,4,4,2,2,3,2,3,3,2025-10-29T16:36:45.9400000,30,1
410,0,2,1,3,3,4,1,1,3,2,4,2025-10-29T16:37:13.7770000,24,1
412,1,0,0,1,2,2,1,1,2,1,1,2025-10-29T16:38:21.9500000,11,0
415,1,2,1,3,2,2,1,2,1,2,2,2025-10-29T16:47:14.5100000,18,0
416,1,4,2,4,2,2,3,3,2,3,3,2025-10-29T16:48:06.6900000,28,1
418,1,1,2,2,2,1,1,2,2,2,3,2025-10-29T16:48:10.1470000,18,0
419,1,2,2,3,3,2,3,2,3,3,3,2025-10-29T16:49:03.3570000,26,1
420,1,4,3,4,2,3,3,2,3,4,4,2025-10-29T16:49:10.9670000,32,1
421,0,2,1,2,1,1,0,2,1,1,1,2025-10-29T16:50:02.9730000,12,0
422,1,2,3,3,2,2,4,2,3,4,4,2025-10-29T16:50:52.9400000,29,1
423,1,1,2,2,1,1,2,1,0,2,1,2025-10-29T16:50:53.9330000,13,0
424,1,4,4,4,4,2,2,3,3,2,1,2025-10-29T16:50:56.5470000,29,1
425,0,2,2,1,1,1,2,3,3,2,3,2025-10-29T16:51:27.7030000,20,0
426,0,2,2,3,2,1,2,3,2,3,2,2025-10-29T16:51:31.2370000,22,1
427,1,3,0,4,1,1,3,4,2,4,4,2025-10-29T16:52:57.3700000,26,1
428,0,2,2,2,3,1,2,3,2,1,1,2025-10-29T16:55:44.9430000,19,0
429,0,3,2,3,2,0,2,2,2,3,2,2025-10-29T16:56:39.3330000,21,1
430,0,1,1,2,1,0,3,1,1,1,2,2025-10-29T16:58:10.1300000,13,0
431,1,2,2,3,2,3,1,3,2,2,3,2025-10-29T16:59:25.2630000,23,1
432,1,2,3,4,2,2,3,1,2,4,4,2025-10-29T17:01:03.2800000,27,1
433,1,4,1,4,0,3,0,1,1,2,1,2025-10-29T17:27:05.5870000,17,0
